Date,Activity,Group,Duration,Distance,Steps,Calories
11/3/14,walking,walking,4393,5.165,5459,0
11/3/14,transport,transport,719,3.460,0,0
11/4/14,walking,walking,3510,4.097,5203,0
11/4/14,transport,transport,1555,5.638,0,0
11/5/14,walking,walking,2289,2.879,3467,0
11/5/14,transport,transport,784,1.843,0,0
11/6/14,walking,walking,5988,6.604,8874,0
11/6/14,transport,transport,692,2.592,0,0
11/7/14,walking,walking,3376,4.432,5394,0
11/7/14,transport,transport,2208,6.784,0,0
11/7/14,running,running,123,0.223,268,0
11/8/14,walking,walking,2464,2.676,3642,0
11/9/14,walking,walking,1234,1.097,1574,0
