Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
8/3/14,walking,walking,2014-08-03T00:15:32+02:00,2014-08-03T00:15:36+02:00,4,0.003,5,0
8/3/14,walking,walking,2014-08-03T02:29:38+02:00,2014-08-03T02:30:08+02:00,30,0.015,30,0
8/3/14,walking,walking,2014-08-03T10:00:15+02:00,2014-08-03T10:00:25+02:00,10,0.007,14,0
8/3/14,walking,walking,2014-08-03T10:02:03+02:00,2014-08-03T10:06:33+02:00,270,0.305,468,0
8/3/14,transport,transport,2014-08-03T10:06:33+02:00,2014-08-03T10:23:29+02:00,1016,3.553,0,0
8/3/14,walking,walking,2014-08-03T10:23:29+02:00,2014-08-03T10:27:10+02:00,221,0.311,414,0
8/3/14,walking,walking,2014-08-03T10:34:49+02:00,2014-08-03T10:39:42+02:00,293,0.358,379,0
8/3/14,walking,walking,2014-08-03T10:45:14+02:00,2014-08-03T10:47:34+02:00,140,0.165,220,0
8/3/14,walking,walking,2014-08-03T11:00:09+02:00,2014-08-03T11:07:14+02:00,425,0.484,645,0
8/3/14,walking,walking,2014-08-03T11:14:11+02:00,2014-08-03T11:16:46+02:00,155,0.172,258,0
8/3/14,walking,walking,2014-08-03T11:16:46+02:00,2014-08-03T11:17:12+02:00,26,0.019,39,0
8/3/14,walking,walking,2014-08-03T11:27:35+02:00,2014-08-03T11:30:13+02:00,158,0.181,176,0
8/3/14,transport,transport,2014-08-03T11:30:13+02:00,2014-08-03T12:24:26+02:00,3253,40.287,0,0
8/3/14,walking,walking,2014-08-03T12:24:25+02:00,2014-08-03T12:26:54+02:00,149,0.211,253,0
8/3/14,transport,transport,2014-08-03T12:26:54+02:00,2014-08-03T13:06:39+02:00,2385,29.541,0,0
8/3/14,walking,walking,2014-08-03T13:06:39+02:00,2014-08-03T13:11:40+02:00,301,0.259,464,0
8/3/14,walking,walking,2014-08-03T13:11:40+02:00,2014-08-03T13:20:58+02:00,558,0.605,806,0
8/3/14,walking,walking,2014-08-03T13:44:56+02:00,2014-08-03T13:50:29+02:00,333,0.285,410,0
8/3/14,walking,walking,2014-08-03T13:50:29+02:00,2014-08-03T13:53:31+02:00,182,0.186,247,0
8/3/14,walking,walking,2014-08-03T14:03:23+02:00,2014-08-03T14:04:54+02:00,91,0.061,121,0
8/3/14,transport,transport,2014-08-03T14:11:35+02:00,2014-08-03T14:18:25+02:00,410,1.352,0,0
8/3/14,walking,walking,2014-08-03T14:19:26+02:00,2014-08-03T14:19:27+02:00,1,0.001,1,0
8/3/14,walking,walking,2014-08-03T14:23:26+02:00,2014-08-03T14:28:37+02:00,311,0.301,358,0
8/3/14,walking,walking,2014-08-03T14:28:45+02:00,2014-08-03T14:29:26+02:00,41,0.028,55,0
8/3/14,walking,walking,2014-08-03T14:30:08+02:00,2014-08-03T14:35:46+02:00,338,0.201,235,0
8/3/14,walking,walking,2014-08-03T14:35:50+02:00,2014-08-03T14:39:54+02:00,244,0.268,357,0
8/3/14,walking,walking,2014-08-03T14:48:35+02:00,2014-08-03T15:18:17+02:00,1782,2.229,2830,0
8/3/14,walking,walking,2014-08-03T15:18:16+02:00,2014-08-03T15:24:25+02:00,369,0.430,573,0
8/3/14,transport,transport,2014-08-03T15:47:46+02:00,2014-08-03T16:03:47+02:00,961,1.198,0,0
8/3/14,walking,walking,2014-08-03T16:05:30+02:00,2014-08-03T16:05:52+02:00,22,0.018,36,0
8/3/14,walking,walking,2014-08-03T16:06:10+02:00,2014-08-03T16:19:03+02:00,773,0.486,971,0
8/3/14,transport,transport,2014-08-03T16:19:02+02:00,2014-08-03T16:53:26+02:00,2064,6.169,0,0
8/3/14,walking,walking,2014-08-03T16:53:26+02:00,2014-08-03T17:00:15+02:00,409,0.254,510,0
8/3/14,walking,walking,2014-08-03T17:00:29+02:00,2014-08-03T17:07:25+02:00,416,0.456,608,0
8/3/14,walking,walking,2014-08-03T17:19:51+02:00,2014-08-03T17:25:46+02:00,355,0.494,601,0
8/3/14,transport,transport,2014-08-03T17:25:45+02:00,2014-08-03T18:29:09+02:00,3804,88.045,0,0
8/3/14,walking,walking,2014-08-03T18:29:08+02:00,2014-08-03T18:31:09+02:00,121,0.109,172,0
8/3/14,walking,walking,2014-08-03T18:37:37+02:00,2014-08-03T18:38:04+02:00,27,0.018,36,0
8/3/14,transport,transport,2014-08-03T18:38:23+02:00,2014-08-03T18:52:50+02:00,867,2.929,0,0
8/3/14,walking,walking,2014-08-03T18:52:50+02:00,2014-08-03T18:58:23+02:00,333,0.670,558,0
8/3/14,walking,walking,2014-08-03T18:58:30+02:00,2014-08-03T18:58:36+02:00,6,0.006,11,0
8/3/14,walking,walking,2014-08-03T22:18:20+02:00,2014-08-03T22:18:49+02:00,29,0.020,39,0
