Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/1/14,Volleyball field of Karlshof,2014-09-01T00:00:00+02:00,2014-09-01T16:58:40+02:00,61120,49.8826210232,8.6675185755,,
9/1/14,Place in Maschinenhaus,2014-09-01T17:03:20+02:00,2014-09-01T17:36:52+02:00,2012,49.8770449952,8.657750091,,
9/1/14,Volleyball field of Karlshof,2014-09-01T17:53:44+02:00,2014-09-01T17:55:54+02:00,130,49.8826210232,8.6675185755,,
9/1/14,Home,2014-09-01T17:58:03+02:00,2014-09-01T18:50:23+02:00,3140,49.8819996044,8.6702592175,Home,
9/1/14,Place in Fohlenhof,2014-09-01T18:53:48+02:00,2014-09-01T20:00:49+02:00,4021,49.8846492734,8.6665044713,,
9/1/14,Home,2014-09-01T20:06:24+02:00,2014-09-01T21:13:21+02:00,4017,49.8819996044,8.6702592175,Home,
9/1/14,Place in Studentenwohnheim Karlshof,2014-09-01T21:16:37+02:00,2014-09-02T00:00:00+02:00,9803,49.8831093675,8.6697840805,,
9/2/14,Place in Studentenwohnheim Karlshof,2014-09-02T00:00:00+02:00,2014-09-02T01:02:29+02:00,3749,49.8831093675,8.6697840805,,
9/2/14,Home,2014-09-02T01:06:03+02:00,2014-09-02T08:42:57+02:00,27414,49.8819996044,8.6702592175,Home,
9/2/14,Consetto,2014-09-02T09:14:55+02:00,2014-09-02T13:15:29+02:00,14434,49.8712952279,8.6249912643,Work,
9/2/14,Place in Darmstadt,2014-09-02T13:23:11+02:00,2014-09-02T13:27:56+02:00,285,49.8727137981,8.631430972,,
9/2/14,Home,2014-09-02T13:50:48+02:00,2014-09-02T21:01:28+02:00,25840,49.8819996044,8.6702592175,Home,
9/2/14,Place in Darmstadt,2014-09-02T21:03:17+02:00,2014-09-02T21:15:14+02:00,717,49.8853907879,8.6710590028,,
9/2/14,Place in Darmstadt,2014-09-02T21:18:57+02:00,2014-09-02T21:28:15+02:00,558,49.8829100725,8.6682008619,,
9/2/14,Home,2014-09-02T21:30:56+02:00,2014-09-03T00:00:00+02:00,8944,49.8819996044,8.6702592175,Home,
