Date,Type,Name,Start,End,Duration
7/1/14,place,Place in Darmstadt,2014-07-01T00:00:00+02:00,2014-07-01T08:43:19+02:00,31399
7/1/14,move,walking,2014-07-01T08:43:19+02:00,2014-07-01T08:50:15+02:00,416
7/1/14,place,Place in TU Darmstadt / S2,2014-07-01T08:50:15+02:00,2014-07-01T13:06:59+02:00,15404
7/1/14,move,walking,2014-07-01T13:06:59+02:00,2014-07-01T13:13:03+02:00,364
7/1/14,place,Place in TU Darmstadt / S2,2014-07-01T13:13:02+02:00,2014-07-01T15:15:09+02:00,7327
7/1/14,move,walking,2014-07-01T15:15:09+02:00,2014-07-01T15:19:06+02:00,237
7/1/14,place,Place in TU Darmstadt / S2,2014-07-01T15:19:05+02:00,2014-07-01T15:28:10+02:00,545
7/1/14,move,transport,2014-07-01T15:28:10+02:00,2014-07-01T15:37:36+02:00,566
7/1/14,move,walking,2014-07-01T15:37:36+02:00,2014-07-01T15:46:20+02:00,524
7/1/14,place,Place in Europaplatz,2014-07-01T15:46:21+02:00,2014-07-01T15:50:21+02:00,240
7/1/14,move,walking,2014-07-01T15:50:21+02:00,2014-07-01T16:25:42+02:00,2121
7/1/14,move,walking,2014-07-01T16:25:42+02:00,2014-07-01T16:26:42+02:00,60
7/1/14,place,Place in Darmstadt,2014-07-01T16:26:42+02:00,2014-07-01T16:59:42+02:00,1980
7/1/14,move,walking,2014-07-01T16:59:42+02:00,2014-07-01T17:10:40+02:00,658
7/1/14,place,Place in Darmstadt,2014-07-01T17:10:40+02:00,2014-07-01T17:15:54+02:00,314
7/1/14,move,transport,2014-07-01T17:15:54+02:00,2014-07-01T17:22:24+02:00,390
7/1/14,move,walking,2014-07-01T17:22:23+02:00,2014-07-01T17:35:45+02:00,802
7/1/14,place,Place in TU Darmstadt / S2,2014-07-01T17:35:46+02:00,2014-07-01T18:33:42+02:00,3476
7/1/14,move,walking,2014-07-01T18:33:42+02:00,2014-07-01T18:41:59+02:00,497
7/1/14,move,transport,2014-07-01T18:41:59+02:00,2014-07-01T18:50:30+02:00,511
7/1/14,move,walking,2014-07-01T18:50:30+02:00,2014-07-01T18:55:35+02:00,305
7/1/14,place,Place in Darmstadt,2014-07-01T18:55:35+02:00,2014-07-01T22:41:47+02:00,13572
7/1/14,move,walking,2014-07-01T22:41:47+02:00,2014-07-01T22:45:17+02:00,210
7/1/14,place,Place in Darmstadt,2014-07-01T22:45:17+02:00,2014-07-01T23:26:05+02:00,2448
7/1/14,move,walking,2014-07-01T23:26:05+02:00,2014-07-01T23:28:43+02:00,158
7/1/14,place,Place in Darmstadt,2014-07-01T23:28:43+02:00,2014-07-02T00:00:00+02:00,1877
